"reviewer$gpa","reviewer$academic_major","reviewer$age_range","reviewer$location","reviewer$gender","reviewer$signin_count","reviewer$user_id","review$avg_score","review$score1","review$score2","review$score3","review$score4","review$score5","reviewee$team_id","reviewee$team_size"
"Does not apply","Business","21-25","Brazil","Male",43,29913,1,1,1,1,1,1,6442,7
"2.5-3","Other","over 50","United States","Male",88,35,2,2,3,2,2,1,5215,4
"Does not apply","Business","26-30","Czech Republic","Male",137,14203,5.6,5,8,5,5,5,5817,1
"Does not apply","Business","21-25","Brazil","Male",43,29913,2.4,3,2,3,2,2,7047,1
"2.5-3","Other","over 50","United States","Male",88,35,5.8,7,7,6,6,3,5693,7
"Does not apply","Business","26-30","Czech Republic","Male",137,14203,4.2,5,3,6,5,2,5017,4
"2.5-3","Other","over 50","United States","Male",88,35,8.2,9,8,7,8,9,5906,9
"Does not apply","Business","26-30","Czech Republic","Male",137,14203,4.4,2,5,5,5,5,5118,4
"Does not apply","Business","26-30","Czech Republic","Male",137,14203,4.8,5,4,4,3,8,5283,3
"2.5-3","Other","over 50","United States","Male",88,35,6.4,10,9,6,5,2,5988,27
"2.5-3","Other","over 50","United States","Male",88,35,6.4,7,7,6,6,6,5921,3
"2.5-3","Other","over 50","United States","Male",88,35,1,1,1,1,1,1,5578,3
"2.5-3","Other","over 50","United States","Male",88,35,4.4,4,4,5,5,4,5190,6
"Does not apply","Science","46-50","United States","Female",63,17600,3.6,5,6,3,3,1,5069,4
"Do not want to disclose","Other","36-40","Japan","Male",233,19656,1.6,2,2,2,1,1,5693,7
"Does not apply","Engineering","26-30","Australia","Male",22,2290,6.8,8,8,8,4,6,5250,3
"3.5-4.00","Business","41-45","United States","Male",87,14242,1,1,1,1,1,1,5069,4
"Does not apply","Business","26-30","Czech Republic","Male",137,14203,3,5,1,5,3,1,5360,3
"Does not apply","Business","26-30","Czech Republic","Male",137,14203,3,6,1,6,1,1,5667,1
"3.5-4.00","Business","36-40","Italy","Male",588,3417,3.4,3,5,4,3,2,5309,7
"3.5-4.00","Other","21-25","Italy","Male",37,3113,5.6,2,10,7,7,2,5215,4
"Does not apply","Business","26-30","Czech Republic","Male",137,14203,3.4,5,2,5,3,2,5363,1
"Does not apply","Science","21-25","India","Male",72,12665,4,4,6,6,3,1,5069,4
"Does not apply","Business","26-30","Czech Republic","Male",137,14203,4.2,7,5,5,3,1,5479,17
"NULL","NULL","NULL","Romania","NULL",56,36409,4.8,6,6,4,5,3,5069,4
"Does not apply","Science","21-25","India","Male",72,12665,7.6,10,9,9,7,3,5906,9
"NULL","NULL","NULL","Romania","NULL",56,36409,8,10,8,7,9,6,5627,5
"Does not apply","Business","41-45","Malaysia","Male",502,4812,4,3,4,3,2,8,5608,2
"Does not apply","Science","46-50","United States","Female",63,17600,3.8,5,3,3,3,5,5470,17
"Does not apply","Science","21-25","India","Male",72,12665,4.2,5,8,3,3,2,5215,4
"Does not apply","Business","41-45","United Kingdom","Male",438,17928,3.2,3,2,4,5,2,6382,2
"Does not apply","Business","21-25","Brazil","Male",43,29913,1.2,2,1,1,1,1,5374,9
"NULL","NULL","NULL","Romania","NULL",56,36409,4.2,5,3,3,7,3,5144,2
"NULL","NULL","NULL","Romania","NULL",56,36409,6.2,8,7,3,6,7,5213,8
"Does not apply","Business","26-30","Czech Republic","Male",137,14203,4,8,1,1,5,5,5663,7
"Does not apply","Business","26-30","Czech Republic","Male",137,14203,4.4,6,4,5,5,2,5226,1
"2.5-3","Business","41-45","United Kingdom","Female",463,11835,4.6,5,5,8,3,2,5663,7
"2.5-3","Business","41-45","United Kingdom","Female",463,11835,4.4,3,7,6,4,2,5980,0
"2.5-3","Business","41-45","United Kingdom","Female",463,11835,2.8,4,3,2,4,1,5993,2
"Does not apply","Business","26-30","Czech Republic","Male",137,14203,3,5,5,2,2,1,5106,2
"Does not apply","Business","26-30","Czech Republic","Male",137,14203,4.8,8,2,5,5,4,5875,3
"Do not want to disclose","Humanities","46-50","Italy","Female",213,16306,8.8,9,8,9,9,9,5539,2
"2.5-3","Business","41-45","United Kingdom","Female",463,11835,3,4,4,4,2,1,5601,1
"3-3.49","Engineering","26-30","United States","Female",86,237,6.2,8,6,5,8,4,5836,4
"Does not apply","Humanities","31-35","United States","Female",118,8491,2,3,2,2,2,1,5360,3
"Does not apply","Humanities","31-35","United States","Female",118,8491,4,4,3,3,4,6,5170,2
"Does not apply","Humanities","31-35","United States","Female",118,8491,5.2,6,5,5,5,5,5204,6
"Does not apply","Science","41-45","Denmark","Male",204,12328,4.2,4,6,4,4,3,5288,2
"Does not apply","Science","46-50","United States","Female",63,17600,6,9,7,6,5,3,5250,3
"Does not apply","Science","46-50","United States","Female",63,17600,1.4,3,1,1,1,1,5223,1
"Does not apply","Engineering","31-35","Spain","Male",133,3339,6,5,8,6,6,5,5151,2
"3.5-4.00","Business","36-40","Italy","Male",588,3417,3.8,4,5,3,5,2,6204,1
"Does not apply","Engineering","31-35","Spain","Male",133,3339,6.6,8,7,8,7,3,7024,3
"Does not apply","Engineering","31-35","Spain","Male",133,3339,1,1,1,1,1,1,5511,1
"Does not apply","Engineering","31-35","Spain","Male",133,3339,6.8,8,6,6,8,6,5504,7
"Does not apply","Business","36-40","Germany","Male",354,21907,3.2,3,5,4,2,2,5215,4
"Does not apply","Engineering","26-30","Russian Federation","Male",305,18289,7,9,8,7,7,4,5906,9
"NULL","NULL","26-30","Argentina","Male",67,31078,3.8,5,3,5,5,1,5470,17
"2.5-3","Business","41-45","United Kingdom","Female",463,11835,2.6,6,2,2,2,1,5452,4
"Does not apply","Medicine","18-20","United Kingdom","Male",54,23187,2.4,4,1,2,4,1,5250,3
"Does not apply","Science","46-50","United States","Female",63,17600,3.2,6,4,2,3,1,5536,4
"Does not apply","Business","26-30","Colombia","Female",62,13777,7,5,7,8,9,6,5114,5
"2.5-3","Business","36-40","India","Male",325,17528,5.6,6,5,5,5,7,5069,4
"2.5-3","Engineering","31-35","Colombia","Male",86,15622,6.4,8,7,8,8,1,5836,4
"Does not apply","Engineering","36-40","Australia","Male",116,32678,5.8,8,5,4,7,5,5875,3
"NULL","NULL","NULL","United States","NULL",391,34624,1,1,1,1,1,1,5685,6
"Does not apply","Business","36-40","Germany","Male",354,21907,3.4,4,4,4,2,3,5562,2
"3.5-4.00","Business","over 50","Pakistan","Male",154,22224,6,7,6,6,6,5,5906,9
"3.5-4.00","Business","41-45","United States","Male",87,14242,1,1,1,1,1,1,5906,9
"3.5-4.00","Business","over 50","Pakistan","Male",154,22224,3.6,3,6,3,4,2,5693,7
"Does not apply","Engineering","31-35","United States","Male",364,9491,6.4,7,7,7,4,7,5817,1
"3.5-4.00","Engineering","46-50","United States","Female",27,15096,5.8,7,5,5,5,7,5693,7
"Does not apply","Science","over 50","Australia","Male",238,1006,5,5,6,4,4,6,5470,17
"Does not apply","Science","over 50","Australia","Male",238,1006,4.4,6,4,3,4,5,5939,4
"Does not apply","Science","over 50","Australia","Male",238,1006,4.8,3,7,5,3,6,6382,2
"Does not apply","Science","over 50","Australia","Male",238,1006,3,3,4,2,3,3,5429,2
"3.5-4.00","Engineering","41-45","United States","Male",104,17120,3.6,6,3,4,3,2,5906,9
"Do not want to disclose","Engineering","46-50","India","Female",101,24314,6.6,8,7,7,7,4,6083,2
"3-3.49","Science","26-30","Spain","Male",16,11937,4.8,4,7,5,4,4,5069,4
"3-3.49","Science","26-30","Spain","Male",16,11937,4.6,6,4,3,5,5,5693,7
"3-3.49","Science","26-30","Spain","Male",16,11937,5.4,3,8,5,5,6,5470,17
"Does not apply","Engineering","26-30","Finland","Male",16,32973,4,5,4,3,3,5,5069,4
"Does not apply","Engineering","26-30","Finland","Male",16,32973,8,7,10,9,9,5,5906,9
"Does not apply","Engineering","31-35","Lithuania","Male",24,10476,2.4,2,2,3,3,2,5651,0
"Does not apply","Engineering","31-35","Lithuania","Male",24,10476,5.4,5,3,6,6,7,5154,3
"Do not want to disclose","Engineering","46-50","India","Female",101,24314,4.6,6,5,5,4,3,5475,5
"Does not apply","Engineering","26-30","Finland","Male",16,32973,6.6,8,6,9,6,4,5693,7
"Does not apply","Engineering","26-30","Russian Federation","Male",305,18289,4.6,6,5,4,4,4,5693,7
"3.5-4.00","Business","41-45","United States","Male",87,14242,3,4,4,3,2,2,5369,2
"3-3.49","Engineering","31-35","Argentina","Male",104,13853,2.4,3,4,2,2,1,5836,4
"3-3.49","Engineering","over 50","Argentina","Male",63,13197,5.2,7,6,5,4,4,5150,4
"3.5-4.00","Engineering","26-30","United States","Male",33,19544,2.4,3,3,2,3,1,5758,5
"3.5-4.00","Engineering","31-35","India","Male",107,16777,7.4,7,7,7,6,10,5154,3
"NULL","NULL","NULL","United States","NULL",391,34624,4.4,6,4,6,4,2,5026,2
"Does not apply","Business","36-40","Germany","Male",354,21907,4.4,5,1,6,6,4,5424,1
"3.5-4.00","Medicine","36-40","United States","Male",171,5489,4.8,6,5,4,4,5,5906,9
"Does not apply","Science","31-35","Australia","Male",36,997,3.6,5,4,5,3,1,5836,4
"3.5-4.00","Engineering","46-50","United States","Female",27,15096,5.4,8,8,5,5,1,5069,4
"Does not apply","Engineering","26-30","Finland","Male",16,32973,6.8,9,9,8,6,2,5213,8
"3.5-4.00","Business","36-40","United States","Male",101,19752,6.6,7,8,6,7,5,5693,7
"3.5-4.00","Business","36-40","United States","Male",101,19752,5.4,6,7,4,4,6,5215,4
"3.5-4.00","Business","36-40","United States","Male",101,19752,5.6,6,7,6,4,5,5470,17
"3.5-4.00","Business","36-40","United States","Male",101,19752,4.4,5,6,4,4,3,5154,3
"3.5-4.00","Business","36-40","United States","Male",101,19752,4.8,6,6,5,3,4,5516,2
"3.5-4.00","Business","36-40","United States","Male",101,19752,6.2,6,7,6,6,6,6109,1
"Does not apply","Engineering","31-35","Lithuania","Male",24,10476,5.2,8,7,8,2,1,5516,2
"Does not apply","Engineering","26-30","Finland","Male",16,32973,5.8,8,7,7,6,1,7074,1
"Does not apply","Engineering","26-30","Finland","Male",16,32973,1,1,1,1,1,1,6442,7
"2.5-3","Business","41-45","United Kingdom","Female",463,11835,5.2,6,4,4,4,8,5154,3
"2.5-3","Business","41-45","United Kingdom","Female",463,11835,3.8,7,3,5,3,1,7074,1
"Does not apply","Business","26-30","Spain","Male",176,5634,3.8,1,4,7,6,1,5836,4
"Does not apply","Business","26-30","Spain","Male",176,5634,8.8,10,9,10,10,5,5250,3
"Does not apply","Business","26-30","Spain","Male",176,5634,5,5,6,5,6,3,7074,1
"Does not apply","Business","26-30","Spain","Male",176,5634,8.2,5,10,9,8,9,5154,3
"3.5-4.00","Business","36-40","United States","Male",101,19752,1,1,1,1,1,1,5277,7
"3.5-4.00","Business","36-40","United States","Male",101,19752,6.6,7,7,7,6,6,5667,1
"3.5-4.00","Business","36-40","United States","Male",101,19752,6.8,7,7,7,7,6,5608,2
"3.5-4.00","Business","36-40","United States","Male",101,19752,6,6,7,6,5,6,6277,3
"3.5-4.00","Business","31-35","United States","Male",61,12978,3.2,3,9,2,1,1,5069,4
"3.5-4.00","Business","31-35","United States","Male",61,12978,3.8,2,8,5,2,2,5693,7
"Does not apply","Business","31-35","Ireland","Female",52,9066,5,5,7,6,5,2,5069,4
"Does not apply","Business","31-35","Ireland","Female",52,9066,3.6,3,5,5,4,1,5250,3
"Does not apply","Engineering","36-40","Spain","Male",31,4655,5.8,8,5,6,5,5,5693,7
"2.5-3","Business","41-45","United Kingdom","Female",463,11835,2.4,3,4,3,1,1,5599,7
"Does not apply","Engineering","36-40","Spain","Female",26,15171,5,6,4,5,5,5,7074,1
"Does not apply","Engineering","36-40","Spain","Male",31,4655,7.2,10,8,6,9,3,5906,9
"Does not apply","Engineering","36-40","Spain","Female",26,15171,6,9,4,4,7,6,5667,1
"2.5-3","Business","41-45","United Kingdom","Female",463,11835,7.4,8,7,7,6,9,5667,1
"Do not want to disclose","Engineering","46-50","India","Female",101,24314,4.8,6,7,5,4,2,7074,1
"Does not apply","Business","26-30","Spain","Male",176,5634,9,9,9,8,9,10,5875,3
"Does not apply","Engineering","36-40","Spain","Male",31,4655,6.8,8,8,7,7,4,5250,3
"3.5-4.00","Business","41-45","United States","Male",87,14242,5.8,5,6,6,6,6,5154,3
"3-3.49","Science","26-30","United States","Male",71,16519,1.6,3,1,1,2,1,5069,4
"3-3.49","Science","26-30","United States","Male",71,16519,6.6,8,7,7,8,3,5470,17
"Does not apply","Engineering","26-30","Russian Federation","Male",305,18289,2.8,4,3,3,3,1,7074,1
"3-3.49","Engineering","31-35","Argentina","Male",104,13853,2.2,2,4,2,1,2,5250,3
"3-3.49","Engineering","31-35","Argentina","Male",104,13853,5.2,5,8,7,4,2,5215,4
"3.5-4.00","Engineering","21-25","India","Male",100,10849,3,3,3,2,1,6,5069,4
"3-3.49","Engineering","31-35","Argentina","Male",104,13853,1,1,1,1,1,1,7074,1
"3.5-4.00","Engineering","21-25","India","Male",100,10849,4.8,4,6,5,6,3,5693,7
"NULL","NULL","NULL","Canada","NULL",34,36194,6.6,7,7,7,7,5,5921,3
"3-3.49","Engineering","31-35","Argentina","Male",104,13853,3.2,6,4,2,2,2,6382,2
"Do not want to disclose","Business","31-35","United Kingdom","Male",49,26036,3.6,3,5,4,3,3,5693,7
"Does not apply","Engineering","31-35","United States","Male",364,9491,3.2,4,2,5,4,1,6148,4
"3.5-4.00","Business","36-40","United States","Male",101,19752,7.4,8,7,8,8,6,5921,3
"3.5-4.00","Business","36-40","United States","Male",101,19752,6.6,7,6,8,6,6,5369,2
"3.5-4.00","Business","36-40","United States","Male",101,19752,6.2,7,4,7,6,7,5204,6
"3.5-4.00","Business","36-40","United States","Male",101,19752,5.8,7,5,6,6,5,5635,2
"3.5-4.00","Business","36-40","United States","Male",101,19752,6.4,6,7,5,8,6,5103,2
"3.5-4.00","Business","36-40","United States","Male",101,19752,6.8,7,9,4,8,6,5026,2
"3.5-4.00","Business","36-40","United States","Male",101,19752,5.8,6,5,6,6,6,5283,3
"3.5-4.00","Business","36-40","United States","Male",101,19752,4.8,5,6,5,4,4,5309,7
"3.5-4.00","Business","36-40","United States","Male",101,19752,6.4,7,6,7,7,5,5235,4
"3.5-4.00","Business","36-40","United States","Male",101,19752,6,6,5,7,6,6,5787,3
"3.5-4.00","Science","21-25","United States","Male",42,17471,4.6,6,6,6,4,1,5069,4
"Does not apply","Business","26-30","Spain","Male",176,5634,8,10,8,8,8,6,5473,5
"Does not apply","Business","41-45","Malaysia","Male",502,4812,6,8,5,7,5,5,5667,1
"2.5-3","Business","41-45","United Kingdom","Female",463,11835,1,1,1,1,1,1,5475,5
"Does not apply","Engineering","26-30","Russian Federation","Male",305,18289,5,6,6,4,4,5,5235,4
"Does not apply","Science","Do not want to disclose","United States","Do not want to disclose",105,18415,4,5,8,2,4,1,5906,9
"3.5-4.00","Business","36-40","United States","Male",101,19752,6.4,6,7,6,7,6,6271,4
"Does not apply","Engineering","41-45","Italy","Male",74,15131,3.8,3,5,2,1,8,5235,4
"Does not apply","Science","41-45","Denmark","Male",204,12328,4.4,8,4,4,3,3,5921,3
"3.5-4.00","Business","41-45","United States","Male",87,14242,1,1,1,1,1,1,5758,5
"3.5-4.00","Business","26-30","Iran, Islamic Republic of","Male",96,17796,5.4,8,9,7,1,2,5667,1
"2.5-3","Business","41-45","United Kingdom","Female",463,11835,7.2,9,6,7,5,9,5307,6
"Do not want to disclose","Science","26-30","Ireland","Female",26,11836,9,9,9,9,9,9,5693,7
"3.5-4.00","Business","26-30","Iran, Islamic Republic of","Male",96,17796,5,8,8,5,2,2,5353,3
"3.5-4.00","Business","26-30","Iran, Islamic Republic of","Male",96,17796,4,3,2,8,3,4,5939,4
"3.5-4.00","Business","26-30","Iran, Islamic Republic of","Male",96,17796,6,5,7,9,4,5,5556,1
"3.5-4.00","Business","26-30","Iran, Islamic Republic of","Male",96,17796,4,9,1,8,1,1,5050,8
"NULL","NULL","NULL","Germany","NULL",37,37541,5.8,7,8,7,6,1,5250,3
"3.5-4.00","Business","26-30","Iran, Islamic Republic of","Male",96,17796,5.6,7,2,9,4,6,5899,6
"3.5-4.00","Business","26-30","Iran, Islamic Republic of","Male",96,17796,1,1,1,1,1,1,6792,6
"3.5-4.00","Business","26-30","Iran, Islamic Republic of","Male",96,17796,6.4,7,7,8,9,1,5752,6
"3.5-4.00","Business","26-30","Iran, Islamic Republic of","Male",96,17796,6.6,6,3,7,7,10,5842,3
"Does not apply","Business","36-40","Germany","Male",354,21907,4.4,5,5,4,4,4,5095,3
"3-3.49","Humanities","26-30","United States","Male",15,7763,5.6,10,5,6,6,1,5693,7
"3-3.49","Humanities","26-30","United States","Male",15,7763,2.2,2,1,2,5,1,5906,9
"3-3.49","Humanities","26-30","United States","Male",15,7763,3,4,3,4,3,1,5069,4
"Does not apply","Business","36-40","Germany","Male",354,21907,4.6,4,5,5,4,5,5283,3
"3.5-4.00","Medicine","36-40","United States","Male",171,5489,5.8,7,6,6,5,5,5693,7
"3-3.49","Humanities","26-30","United States","Male",15,7763,2,2,4,2,1,1,5599,7
"3.5-4.00","Medicine","36-40","United States","Male",171,5489,5.2,7,6,4,4,5,5215,4
"3.5-4.00","Medicine","36-40","United States","Male",171,5489,4.8,7,4,5,5,3,6134,2
"3.5-4.00","Medicine","36-40","United States","Male",171,5489,1,1,1,1,1,1,6485,7
"3.5-4.00","Medicine","31-35","United States","Male",51,21959,5.2,6,5,5,5,5,5906,9
"3-3.49","Humanities","26-30","United States","Male",15,7763,1,1,1,1,1,1,5015,0
"3-3.49","Humanities","26-30","United States","Male",15,7763,1,1,1,1,1,1,6387,0
"3.5-4.00","Medicine","31-35","United States","Male",51,21959,6,7,6,6,6,5,5836,4
"3.5-4.00","Medicine","31-35","United States","Male",51,21959,6.2,8,6,6,6,5,5250,3
"2.5-3","Business","41-45","United Kingdom","Female",463,11835,8.8,9,9,9,8,9,5752,6
"Does not apply","Engineering","26-30","Russian Federation","Male",305,18289,2.2,3,2,2,2,2,5223,1
"Does not apply","Engineering","31-35","United States","Male",364,9491,4,5,3,5,5,2,5283,3
"3.5-4.00","Engineering","31-35","India","Male",107,16777,3.4,3,4,5,3,2,5283,3
"3.5-4.00","Business","31-35","Colombia","Male",14,29648,5.2,7,5,7,6,1,5470,17
"Does not apply","Business","36-40","Germany","Male",354,21907,5,6,7,6,4,2,6083,2
"3.5-4.00","Medicine","31-35","United States","Male",51,21959,1,1,1,1,1,1,6850,4
"3.5-4.00","Medicine","31-35","United States","Male",51,21959,5.8,7,6,6,6,4,5764,1
"3.5-4.00","Engineering","21-25","India","Male",100,10849,5.4,6,5,5,5,6,5470,17
"3.5-4.00","Engineering","over 50","Bolivia","Male",131,27480,3.6,3,3,3,4,5,5906,9
"3.5-4.00","Engineering","over 50","Bolivia","Male",131,27480,3.8,3,4,5,4,3,5095,3
"Does not apply","Business","41-45","Faroe Islands","Male",26,4638,7,10,8,9,6,2,5906,9
"3.5-4.00","Engineering","over 50","Bolivia","Male",131,27480,3,2,3,3,2,5,5118,4
"Do not want to disclose","Science","31-35","Germany","Male",80,20142,7.8,7,9,9,7,7,5693,7
"Do not want to disclose","Science","31-35","Germany","Male",80,20142,7.4,7,8,7,7,8,5250,3
"Do not want to disclose","Science","31-35","Germany","Male",80,20142,6.6,9,6,7,6,5,5307,6
"2.5-3","Science","21-25","Trinidad and Tobago","Male",66,15143,5.8,2,6,8,6,7,5906,9
"3.5-4.00","Science","21-25","United States","Male",42,17471,5.6,8,9,5,4,2,5906,9
"3-3.49","Business","21-25","Canada","Male",84,17408,4.8,5,8,4,6,1,5215,4
"3-3.49","Business","21-25","Canada","Male",84,17408,5,5,5,5,9,1,5470,17
"3-3.49","Business","21-25","Canada","Male",84,17408,6.6,10,7,7,6,3,5906,9
"3.5-4.00","Science","21-25","United States","Male",42,17471,5.2,5,10,5,4,2,5836,4
"3.5-4.00","Science","21-25","United States","Male",42,17471,6.4,6,10,5,6,5,5307,6
"Does not apply","Science","Do not want to disclose","United States","Do not want to disclose",105,18415,2.6,4,4,2,2,1,5215,4
"Does not apply","Science","Do not want to disclose","United States","Do not want to disclose",105,18415,4.4,5,7,3,6,1,5069,4
"Does not apply","Science","Do not want to disclose","United States","Do not want to disclose",105,18415,7.4,9,8,5,5,10,5421,6
"Does not apply","Science","Do not want to disclose","United States","Do not want to disclose",105,18415,6,5,7,8,9,1,7054,0
"Does not apply","Business","26-30","Spain","Female",190,11472,7.2,9,9,8,6,4,5906,9
"Do not want to disclose","Humanities","46-50","Italy","Female",213,16306,4.4,6,4,5,2,5,5635,2
"Do not want to disclose","Humanities","46-50","Italy","Female",213,16306,2.8,1,5,6,1,1,5578,3
"Do not want to disclose","Humanities","46-50","Italy","Female",213,16306,2.8,8,3,1,1,1,5050,8
"Do not want to disclose","Other","36-40","Japan","Male",233,19656,3.8,4,3,4,6,2,5836,4
"Does not apply","Business","41-45","Faroe Islands","Male",26,4638,3.2,6,2,3,3,2,5693,7
"Do not want to disclose","Science","31-35","Germany","Male",80,20142,2.6,2,2,3,3,3,5374,9
"3-3.49","Engineering","46-50","Iran, Islamic Republic of","Female",420,19447,3.2,4,3,3,3,3,5069,4
"2.5-3","Business","41-45","United Kingdom","Female",463,11835,7.4,9,8,7,7,6,5473,5
"Does not apply","Science","Do not want to disclose","United States","Do not want to disclose",105,18415,5.6,6,3,6,6,7,5473,5
"2.5-3","Science","21-25","Trinidad and Tobago","Male",66,15143,4.8,4,3,8,6,3,5215,4
"Does not apply","Business","26-30","Spain","Female",190,11472,2.2,1,3,4,2,1,5215,4
"Do not want to disclose","Science","31-35","Germany","Male",80,20142,4,3,4,5,5,3,6148,4
"Does not apply","Business","41-45","Malaysia","Male",502,4812,2.2,2,3,2,3,1,5958,2
"Does not apply","Business","41-45","Malaysia","Male",502,4812,1.6,1,1,1,4,1,5631,4
"Do not want to disclose","Science","31-35","Germany","Male",80,20142,7.2,8,6,7,7,8,5154,3
"3.5-4.00","Science","36-40","United States","Male",83,19690,4.2,6,5,5,4,1,5836,4
"Do not want to disclose","Humanities","46-50","Italy","Female",213,16306,5,8,6,5,4,2,5464,5
"3-3.49","Other","21-25","Indonesia","Male",109,16805,4.2,5,6,4,4,2,5069,4
"3.5-4.00","Engineering","26-30","Saudi Arabia","Male",16,20245,7.6,9,6,6,9,8,5906,9
"Does not apply","Science","Do not want to disclose","United States","Do not want to disclose",105,18415,3,4,3,5,2,1,5141,19
"Does not apply","Other","over 50","India","Male",143,17491,5.8,8,6,6,5,4,5420,3
"Do not want to disclose","Other","over 50","United States","Female",183,24235,5.6,10,5,5,4,4,5470,17
"Does not apply","Engineering","36-40","United States","Male",82,23485,5.8,7,6,6,6,4,5906,9
"Does not apply","Engineering","36-40","United States","Male",82,23485,1,1,1,1,1,1,5215,4
"Does not apply","Engineering","26-30","Russian Federation","Male",305,18289,2.2,2,3,2,3,1,5360,3
"Does not apply","Engineering","36-40","United States","Male",82,23485,5,6,4,4,7,4,5470,17
"Does not apply","Engineering","36-40","United States","Male",82,23485,6.8,9,4,5,7,9,5421,6
"Does not apply","Engineering","36-40","United States","Male",82,23485,6.6,7,7,7,8,4,5017,4
"Do not want to disclose","Engineering","36-40","United Kingdom","Male",380,26989,5.6,7,8,8,2,3,5693,7
"Does not apply","Engineering","36-40","United States","Male",82,23485,1.8,2,2,2,2,1,5004,5
"Does not apply","Engineering","46-50","Spain","Male",131,14869,2.2,3,2,2,2,2,5069,4
"Does not apply","Engineering","46-50","Spain","Male",131,14869,2.4,4,4,2,1,1,5215,4
"Does not apply","Engineering","46-50","Spain","Male",131,14869,2.2,4,2,2,2,1,5190,6
"Do not want to disclose","Engineering","36-40","United Kingdom","Male",380,26989,4.4,4,3,7,7,1,5836,4
"Do not want to disclose","Engineering","36-40","United Kingdom","Male",380,26989,2.8,2,8,1,2,1,6271,4
"Does not apply","Science","41-45","Denmark","Male",204,12328,3.8,3,7,3,3,3,6271,4
"3-3.49","Engineering","46-50","Iran, Islamic Republic of","Female",420,19447,5,5,6,6,6,2,5836,4
"Does not apply","Engineering","26-30","Russian Federation","Male",305,18289,5.8,5,7,6,8,3,5475,5
"Does not apply","Other","26-30","United States","Male",213,9811,7,7,7,6,7,8,5651,0
"Do not want to disclose","Science","31-35","Germany","Male",80,20142,5.4,7,5,6,5,4,5365,2
"3.5-4.00","Science","36-40","United States","Male",83,19690,3.8,4,6,4,4,1,5069,4
"NULL","NULL","NULL","Germany","NULL",37,37541,7,8,5,8,7,7,5693,7
"2.5-3","Business","41-45","United Kingdom","Female",463,11835,7,7,7,7,7,7,6633,2
"3.5-4.00","Business","31-35","Spain","Male",29,4508,5.2,7,6,7,4,2,5215,4
"Does not apply","Science","41-45","Denmark","Male",204,12328,4.2,6,6,3,3,3,5015,0
"Do not want to disclose","Engineering","36-40","United Kingdom","Male",380,26989,5.2,10,6,6,2,2,5026,2
"Does not apply","Science","46-50","United States","Female",63,17600,3.6,5,4,4,3,2,6271,4
"Do not want to disclose","Engineering","36-40","United Kingdom","Male",380,26989,2.8,3,1,1,1,8,5651,0
"Does not apply","Science","46-50","United States","Female",63,17600,2.2,2,3,2,2,2,7047,1
"Does not apply","Science","46-50","United States","Female",63,17600,3,3,4,4,3,1,5980,0
"3.5-4.00","Other","over 50","Canada","Male",164,7841,3.2,4,3,3,3,3,6204,1
"3-3.49","Engineering","26-30","United States","Female",88,30098,4,5,4,5,5,1,5836,4
"Do not want to disclose","Engineering","46-50","India","Female",101,24314,4,5,6,6,1,2,6204,1
"3.5-4.00","Engineering","31-35","India","Male",107,16777,8,9,7,8,8,8,5402,4
"3.5-4.00","Science","over 50","Italy","Male",95,30064,4.6,5,4,7,6,1,6204,1
"NULL","NULL","NULL","Iran, Islamic Republic of","NULL",59,34883,3.6,5,4,4,4,1,5069,4
"NULL","NULL","NULL","Iran, Islamic Republic of","NULL",59,34883,3.2,2,5,4,4,1,5215,4
"Do not want to disclose","Engineering","36-40","United Kingdom","Male",380,26989,2.8,2,5,5,1,1,6204,1
"Do not want to disclose","Engineering","36-40","United Kingdom","Male",380,26989,1,1,1,1,1,1,6831,7
"Do not want to disclose","Engineering","36-40","United Kingdom","Male",380,26989,6.2,9,8,6,6,2,5473,5
"Do not want to disclose","Engineering","41-45","United States","Male",101,22698,3,2,4,2,4,3,5215,4
"Do not want to disclose","Engineering","41-45","United States","Male",101,22698,4.8,7,6,6,3,2,5906,9
"NULL","NULL","NULL","Iran, Islamic Republic of","NULL",59,34883,8,8,9,8,7,8,5906,9
"3.5-4.00","Engineering","21-25","Pakistan","Male",46,8295,4.6,5,3,4,6,5,5069,4
"3.5-4.00","Engineering","21-25","Pakistan","Male",46,8295,5.4,4,6,6,4,7,5693,7
"3.5-4.00","Engineering","21-25","Pakistan","Male",46,8295,5.6,7,6,6,5,4,5906,9
"3.5-4.00","Engineering","21-25","Pakistan","Male",46,8295,4.2,5,4,5,4,3,5986,33
"3.5-4.00","Engineering","21-25","Pakistan","Male",46,8295,3.4,3,4,4,4,2,5758,5
"Does not apply","Engineering","26-30","Russian Federation","Male",305,18289,5.6,7,7,4,5,5,5986,33
"Do not want to disclose","Engineering","41-45","United States","Male",101,22698,1,1,1,1,1,1,5250,3
"Do not want to disclose","Engineering","41-45","United States","Male",101,22698,6.8,7,4,7,7,9,5369,2
"3.5-4.00","Engineering","31-35","India","Male",107,16777,3.8,4,5,4,4,2,6204,1
"3-3.49","Engineering","46-50","Iran, Islamic Republic of","Female",420,19447,5.6,7,5,6,6,4,5402,4
"3.5-4.00","Other","over 50","Canada","Male",164,7841,9.4,9,9,9,10,10,5402,4
"2.5-3","Humanities","36-40","Peru","Female",49,30368,2.6,4,2,2,3,2,5693,7
